Matrícula,Titulado em
37900,4ª Vara Civel e Empresarial da Comarca de Santarem
37970,4ª Vara Criminal da Comarca de Belem
7986,4ª Vara da Fazenda da Comarca de Belem
30244,4ª Vara da Infancia e Juventude da Comarca de Belem
37920,4ª Vara de Familia da Comarca de Belem
48631,4ª Vara de Juizado de Violencia Domestica e Familiar Contra a Mulher da Comarca de Belem
38000,4ª Vara do Juizado Especial Civel de Belem
5568,4ª Vara do Juizado Especial Criminal de Belem
44950,5ª Vara Civel e Empresarial da Comarca de Belem
29254,5ª Vara Criminal da Comarca de Belem
30139,"5ª Vara da Fazenda Pub dos Direitos Difusos, Coletivos e Individuais Homogeneos da Comarca de Belem"
24341,5ª Vara de Familia da Comarca de Belem
37090,5ª Vara do Juizado Especial Civel de Belem
14303,6ª Vara Civel e Empresarial da Comarca de Belem
37010,6ª Vara Criminal da Comarca de Belem
29289,6ª Vara de Familia da Comarca de Belem
7536,6ª Vara do Juizado Especial Civel de Belem
8273,7ª Vara Civel e Empresarial da Comarca de Belem
2457,7ª Vara Criminal da Comarca de Belem
1473,7ª Vara de Familia da Comarca de Belem
30198,7ª Vara do Juizado Especial Civel de Belem
24287,8ª Vara Civel e Empresarial da Comarca de Belem
5169,8ª Vara Criminal da Comarca de Belem
37280,8ª Vara do Juizado Especial Civel de Belem
27022,9ª Vara Civel e Empresarial da Comarca de Belem
24562,9ª Vara Criminal da Comarca de Belem
37140,9ª Vara do Juizado Especial Civel de Belem
233307,Gabinete da Desa. Anete Marques Penna de Carvalho
24503,Gabinete da Desa. Antonieta Maria Ferrari Mileo
9407,Gabinete da Desa. Celia Regina de Lima Pinheiro
1520,Gabinete da Desa. Eva do Amaral Coelho
1627,Gabinete da Desa. Ezilda Pastana Mutran
1929,Gabinete da Desa. Gleide Pereira de Moura
8060,Gabinete da Desa. Kedima Pacifico Lyra
5363,Gabinete da Desa. Luana de Nazareth Amaral Henrique Santalices
39360,Gabinete da Desa. Luzia Nadja Guimaraes Nascimento
639,Gabinete da Desa. Margui Gaspar Bittencourt
1830,Gabinete da Desa. Maria Elvina Gemaque Taveira
1937,Gabinete da Desa. Maria Filomena de Almeida Buarque
1341,Gabinete da Desa. Rosi Maria Gomes de Farias
1449,Gabinete da Desa. Rosileide Maria da Costa Cunha
24333,Gabinete da Desa. Sarah Castelo Branco Monteiro Rodrigues
49000,Gabinete da Desa. Vania Lucia Carvalho da Silveira
41050,Gabinete da Desa. Vania Valente do Couto Fortes Bitar Cunha
7919,Gabinete da Juiza Ana Angelica Abdulmassih Olegario da 2ª TRPJE
5266,Gabinete da Juiza Ana Lucia Bentes Lynch da TRPJE da Fazenda Publica
25208,Gabinete da Juiza Ana Patricia Nunes Alves Fernandes da 1ª TRPJE
6106,Gabinete da Juiza Marcia Cristina Leao Murrieta da 3ª TRPJE
1392,Gabinete da Juiza Maria das Gracas Alfaia da Fonseca Saldanha da 2ª TRPJE
4596,Gabinete da Juiza Silvia Mara Bentes de Souza Costa da 1ª TRPJE
24538,Gabinete da Juiza Tania Batistello da 3ª TRPJE
214353,Gabinete do Des. Alex Pinheiro Centeno
2313,Gabinete do Des. Alvaro Jose Norat de Vasconcelos
2410,Gabinete do Des. Amilcar Roberto Bezerra Guimaraes
232866,Gabinete do Des. Cesar Bechara Nader Mattar Junior
329,Gabinete do Des. Constantino Augusto Guerreiro
2429,Gabinete do Des. Jorge Luiz Lisboa Sanches
2526,Gabinete do Des. Jose Antonio Ferreira Cavalcante
2720,Gabinete do Des. Jose Maria Teixeira do Rosario
15300,Gabinete do Des. Jose Roberto Pinheiro Maia Bezerra Junior
4863,Gabinete do Des. Jose Torquato Araujo de Alencar
67067,Gabinete do Des. Leonam Gondim da Cruz Junior
132,Gabinete do Des. Leonardo de Noronha Tavares
140058,Gabinete do Des. Luiz Gonzaga da Costa Neto
531,Gabinete do Des. Mairton Marques Carneiro
4626,Gabinete do Des. Pedro Pinheiro Sotero
647,Gabinete do Des. Ricardo Ferreira Nunes
744,Gabinete do Des. Roberto Goncalves de Moura
949,Gabinete do Des. Romulo Jose Ferreira Nunes
1740,Gabinete do Des. Sergio Augusto Andrade de Lima
22969,Gabinete do Juiz Charles Menezes Barros da 2ª TRPJE
20113,Gabinete do Juiz Joao Batista Lopes do Nascimento da TRPJE da Fazenda Publica
8176,Gabinete do Juiz Lucio Barreto Guerreiro da 1ª TRPJE
24295,Gabinete do Juiz Max Ney do Rosario Cabral da 3ª TRPJE
