Matrícula,Código,Cargo/Função
55344,CJS-6,Assessor de Desembargador
60330,CJS-6,Assessor de Desembargador
60569,CJS-6,Coordenador de Gabinete
60682,CJS-6,Assessor(a) de Desembargador(a)
65706,CJS-6,Coordenador de Gabinete
66478,CJS-6,Coordenador de Gabinete
67121,CJI,Assistente de Desembargador
73164,CJI,Assistente de Desembargador
73253,CJS-6,Assessor de Desembargador
73300,CJS-4,Assessor da Coordenadoria de Recursos Extraordinarios e Especiais
75124,CJS-4,Assessor de Plenario
75590,CJS-6,Assessor de Desembargador
76376,CJS-6,Assessor de Desembargador
82571,CJS-6,Coordenador de Gabinete
83186,CJI,Assistente de Desembargador
83933,CJI,Assistente de Desembargador
95079,CJS-2,Assessor de Juiz da 8ª Vara Criminal da Comarca de Belem
96521,CJS-6,Assessor de Desembargador
97918,CJS-6,Assessor de Desembargador
98060,CJS-4,Assessor da Coordenadoria de Recursos Extraordinarios e Especiais
98078,CJS-3,Chefe da Divisao de Registro de Acordaos e Jurisprudencia
99856,CJS-6,Coordenador de Gabinete
99899,CJI,Assistente de Desembargador
99937,CJS-6,Assessor de Desembargador
