Matrícula,Atuando em,Movimentação
151181,2ª Vara Civel e Empresarial da Comarca de Barcarena,Substituindo
6947,2ª Vara Civel e Empresarial da Comarca de Belem,Titular
82643,2ª Vara Civel e Empresarial da Comarca de Benevides,Titular
83151,2ª Vara Civel e Empresarial da Comarca de Braganca,Titular
44940,2ª Vara Civel e Empresarial da Comarca de Capanema,Substituindo
82821,2ª Vara Civel e Empresarial da Comarca de Castanhal,Substituindo
197165,2ª Vara Civel e Empresarial da Comarca de Itaituba,Titular
153842,2ª Vara Civel e Empresarial da Comarca de Maraba,Respondendo
197122,2ª Vara Civel e Empresarial da Comarca de Marituba,Respondendo
149314,2ª Vara Civel e Empresarial da Comarca de Paragominas,Titular
203980,2ª Vara Civel e Empresarial da Comarca de Parauapebas,Respondendo
116521,2ª Vara Civel e Empresarial da Comarca de Redencao,Titular
82759,2ª Vara Civel e Empresarial da Comarca de Santa Izabel do Para,Titular
82651,2ª Vara Civel e Empresarial da Comarca de Santarem,Respondendo
82929,2ª Vara Civel e Empresarial da Comarca de Tucurui,Titular
204153,2ª Vara Civel e Empresarial da Comarca de Xinguara,Respondendo
37940,2ª Vara Civel e Empresarial Distrital de Icoaraci,Titular
197025,2ª Vara Criminal da Comarca de Altamira,Respondendo
37100,2ª Vara Criminal da Comarca de Ananindeua,Titular
29327,2ª Vara Criminal da Comarca de Belem,Titular
149241,2ª Vara Criminal da Comarca de Castanhal,Titular
197033,2ª Vara Criminal da Comarca de Itaituba,Titular
70718,2ª Vara Criminal da Comarca de Maraba,Substituindo
113361,2ª Vara Criminal da Comarca de Parauapebas,Titular
70777,2ª Vara Criminal da Comarca de Santarem,Titular
39240,2ª Vara Criminal Distrital de Icoaraci,Substituindo
197092,2ª Vara Cumulativa da Comarca de Breves,Titular
29564,2ª Vara Cumulativa da Comarca de Cameta,Titular
148946,2ª Vara da Comarca de Tailandia,Titular
60240,2ª Vara da Infancia e Juventude da Comarca de Belem,Respondendo
21822,2ª Vara de Crimes Contra a Dignidade Sexual de Crianças e Adolescentes de Belem,Substituindo
30163,2ª Vara de Execucao Fiscal da Comarca de Belem,Substituindo
149195,2ª Vara de Familia da Comarca de Ananindeua,Titular
30163,2ª Vara de Fazenda da Comarca de Belem,Titular
116602,2ª Vara de Juiz(a) das Garantias das Comarcas do Interior,
190462,2ª Vara de Juiz(a) das Garantias das Comarcas do Interior,Respondendo
21822,2ª Vara de Violencia Domestica e Familiar contra a Mulher da Comarca de Belem,Titular
29220,2ª Vara do Juizado Especial Civel de Ananindeua,Titular
153842,2ª Vara do Juizado Especial Civel e Criminal de Maraba,Substituindo
29297,2ª Vara do Juizado Especial Criminal de Belem,Titular
37980,2ª Vara do Juizado Especial da Fazenda Publica de Belem,Substituindo
30228,2ª Vara do Tribunal do Juri da Comarca de Belem,Titular
30180,2º CEJUSC da Capital - Cidadania,Respondendo
1520,3ª Turma de Direito Penal,
24333,3ª Turma de Direito Penal,
4626,3ª Turma de Direito Penal,
232866,3ª Turma de Direito Privado,
233307,3ª Turma de Direito Privado,
204048,3ª Vara Civel e Empresarial da Comarca de Altamira,Substituindo
37250,3ª Vara Civel e Empresarial da Comarca de Ananindeua,Titular
30210,3ª Vara Civel e Empresarial da Comarca de Belem,Substituindo
48755,3ª Vara Civel e Empresarial da Comarca de Benevides,Substituindo
82821,3ª Vara Civel e Empresarial da Comarca de Castanhal,Titular
82767,3ª Vara Civel e Empresarial da Comarca de Paragominas,Titular
149331,3ª Vara Civel e Empresarial da Comarca de Parauapebas,Titular
48712,3ª Vara Civel e Empresarial da Comarca de Santarem,Titular
39020,3ª Vara Criminal da Comarca de Ananindeua,Titular
37180,3ª Vara Criminal da Comarca de Belem,Titular
55808,3ª Vara Criminal da Comarca de Santarem,Titular
39240,3ª Vara Criminal Distrital de Icoaraci,Titular
29270,3ª Vara da Infancia e Juventude da Comarca de Belem,Titular
204072,3ª Vara de Execucao Fiscal da Comarca de Belem,
29262,3ª Vara de Execucao Fiscal da Comarca de Belem,Titular
38060,3ª Vara de Familia da Comarca de Belem,Titular
24520,3ª Vara de Fazenda da Comarca de Belem,Titular
29246,3ª Vara de Violencia Domestica e Familiar contra a Mulher da Comarca de Belem,Titular
5665,3ª Vara do Juizado Especial Civel de Ananindeua,Respondendo
8206,3ª Vara do Juizado Especial Civel de Belem,Titular
29530,3ª Vara do Juizado Especial Criminal de Belem,Titular
39220,3ª Vara do Juizado Especial da Fazenda Publica da Capital,Titular
38032,3ª Vara do Tribunal do Juri da Comarca de Belem,Substituindo
37140,3º CEJUSC Empresarial da Capital,Respondendo
30210,4ª Vara Civel e Empresarial da Comarca de Belem,Titular
